City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
151,Rocha,7,UY,2022-07-24 14:04:20,83,-34.4833,-54.3333,66.34,3.69
152,Huarmey,70,PE,2022-07-24 14:01:57,82,-10.0681,-78.1522,64.49,8.1
153,Berlevag,100,NO,2022-07-24 14:04:20,76,70.8578,29.0864,55.2,17.27
154,Bani,2,DO,2022-07-24 14:04:21,54,18.2833,-70.3333,83.86,11.9
155,Bambous Virieux,75,MU,2022-07-24 14:04:21,73,-20.3428,57.7575,70.21,11.5
156,Nehe,100,CN,2022-07-24 14:04:21,82,48.4833,124.8333,67.48,6.11
157,Ewa Beach,0,US,2022-07-24 14:04:22,72,21.3156,-158.0072,76.08,8.05
158,Provideniya,100,RU,2022-07-24 14:04:22,94,64.3833,-173.3,41.2,5.91
159,Ancud,100,CL,2022-07-24 14:04:23,94,-41.8697,-73.8203,45.23,3.53
160,Fairhope,0,US,2022-07-24 14:04:23,68,30.523,-87.9033,88.25,6.91
161,Tateyama,100,JP,2022-07-24 14:04:23,88,34.9833,139.8667,79.11,13.67
162,Russell,0,US,2022-07-24 14:04:24,74,32.3502,-85.1999,83.48,8.05
163,Port Elizabeth,61,ZA,2022-07-24 14:04:24,86,-33.918,25.5701,61.11,5.99
164,Portland,3,US,2022-07-24 14:00:02,89,45.5234,-122.6762,61.45,3.0
165,Sabang,100,ID,2022-07-24 14:04:25,77,5.8933,95.3214,81.7,11.9
166,Port Keats,8,AU,2022-07-24 14:04:26,60,-14.25,129.55,66.52,0.51
167,Ayan,51,RU,2022-07-24 14:04:26,94,56.45,138.1667,57.15,16.2
168,Senneterre,96,CA,2022-07-24 14:04:27,65,48.3835,-77.2328,71.49,8.9
169,Sur,60,OM,2022-07-24 14:04:27,58,22.5667,59.5289,93.92,2.19
170,Laguna,0,US,2022-07-24 14:03:59,77,38.421,-121.4238,68.09,4.61
171,Sao Jose Da Coroa Grande,100,BR,2022-07-24 14:04:28,70,-8.8978,-35.1478,76.42,13.4
172,Chokurdakh,94,RU,2022-07-24 14:04:28,59,70.6333,147.9167,50.59,9.69
173,Banda Aceh,100,ID,2022-07-24 14:04:28,83,5.5577,95.3222,79.41,8.23
174,Show Low,0,US,2022-07-24 14:04:29,72,34.2542,-110.0298,71.15,0.0
175,Yulara,0,AU,2022-07-24 14:05:30,58,-25.2406,130.9889,59.43,7.29
176,Lahaina,2,US,2022-07-24 14:05:30,81,20.8783,-156.6825,76.8,8.3
177,Salaga,99,GH,2022-07-24 14:05:31,65,8.5508,-0.5188,82.0,2.55
178,Svetlogorsk,98,BY,2022-07-24 14:05:31,85,52.6333,29.7333,70.72,9.01
179,Zhangye,2,CN,2022-07-24 14:05:31,19,38.9342,100.4517,84.04,1.32
180,Borovichi,99,RU,2022-07-24 14:05:32,47,58.3878,33.9155,76.64,8.37
181,Saskylakh,100,RU,2022-07-24 14:05:33,69,71.9167,114.0833,63.86,7.99
182,Klaksvik,100,FO,2022-07-24 14:05:33,92,62.2266,-6.589,56.32,26.84
183,Sangar,53,RU,2022-07-24 14:05:34,84,63.9242,127.4739,58.37,3.24
184,Ust-Kuyga,4,RU,2022-07-24 14:05:34,75,70.0167,135.6,62.38,4.12
185,Umm Lajj,97,SA,2022-07-24 14:05:34,65,25.0213,37.2685,87.03,9.69
186,Ucluelet,46,CA,2022-07-24 14:00:53,93,48.9329,-125.5528,56.08,2.08
187,Mareeba,3,AU,2022-07-24 14:05:35,92,-17.0,145.4333,65.12,2.62
188,Hofn,75,IS,2022-07-24 14:05:36,82,64.2539,-15.2082,51.82,9.22
189,Calvinia,0,ZA,2022-07-24 14:05:36,26,-31.4707,19.776,56.52,16.46
190,Taksimo,99,RU,2022-07-24 14:04:21,84,56.3444,114.8794,66.07,0.83
