City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Auki,SB,-8.7676,160.7034,86.61,60,53,2.3,broken clouds
118,Camocim,BR,-2.9022,-40.8411,75.38,82,40,8.79,scattered clouds
119,Ndjole,GA,-0.1783,10.7649,74.03,88,100,4.25,overcast clouds
120,Faanui,PF,-16.4833,-151.75,78.44,73,22,9.31,few clouds
121,Ruteng,ID,-8.6136,120.4721,69.13,61,10,1.52,clear sky
122,Pitmedden,GB,57.3369,-2.1802,54.07,65,20,3.44,few clouds
123,Ahipara,NZ,-35.1667,173.1667,60.22,72,82,10.96,broken clouds
124,Kidal,ML,18.4411,1.4078,94.91,9,15,7.09,few clouds
125,Zapolyarnyy,RU,69.4154,30.8136,60.94,94,100,12.86,overcast clouds
126,Pangkalanbuun,ID,-2.6833,111.6167,77.94,91,100,2.84,overcast clouds
127,Thompson,CA,55.7435,-97.8558,60.96,88,75,4.61,broken clouds
128,San Patricio,US,28.017,-97.5169,90.84,57,100,14.72,overcast clouds
129,Hasaki,JP,35.7333,140.8333,88.29,81,98,17.31,overcast clouds
130,Saskylakh,RU,71.9167,114.0833,75.04,58,19,10.78,few clouds
131,Lufilufi,WS,-13.8745,-171.5986,85.78,79,47,19.66,light rain
132,Castro,BR,-24.7911,-50.0119,55.98,78,4,4.18,clear sky
133,Tamandare,BR,-8.7597,-35.1047,73.44,87,100,9.51,overcast clouds
134,Sambava,MG,-14.2667,50.1667,65.82,87,55,8.81,broken clouds
135,Vostok,RU,46.4856,135.8833,76.26,61,18,5.28,few clouds
136,Torbay,CA,47.6666,-52.7314,68.77,92,100,19.57,overcast clouds
137,Aasiaat,GL,68.7098,-52.8699,38.48,96,82,8.48,broken clouds
138,Cascais,PT,38.6979,-9.4215,68.47,73,0,23.0,clear sky
139,East London,ZA,-33.0153,27.9116,64.4,43,14,4.7,few clouds
140,Aklavik,CA,68.2191,-135.0107,66.29,33,100,19.35,overcast clouds
141,Jatai,BR,-17.8814,-51.7144,67.78,36,0,5.84,clear sky
142,Jamestown,US,42.097,-79.2353,72.99,51,0,8.05,clear sky
143,Nikolskoye,RU,59.7035,30.7861,66.79,91,100,5.01,overcast clouds
144,Honningsvag,NO,70.9821,25.9704,53.35,94,100,1.14,overcast clouds
145,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,59,75,21.85,broken clouds
146,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.24,93,40,5.75,scattered clouds
147,Jalu,LY,29.0331,21.5482,83.93,30,5,16.96,clear sky
148,Port Keats,AU,-14.25,129.55,79.61,31,7,12.68,clear sky
149,Nantucket,US,41.2835,-70.0995,75.31,83,0,10.36,clear sky
150,Tijuana,MX,32.5333,-117.0167,87.69,69,0,10.36,clear sky
151,Rock Sound,BS,24.9,-76.2,83.55,77,100,16.6,overcast clouds
152,Sur,OM,22.5667,59.5289,81.12,77,65,16.17,broken clouds
153,Srednekolymsk,RU,67.45,153.6833,55.89,43,21,14.54,few clouds
154,Pangnirtung,CA,66.1451,-65.7125,48.04,77,33,3.67,scattered clouds
155,Ponta Delgada,PT,37.7333,-25.6667,74.5,94,20,6.91,few clouds
156,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.16,85,0,9.69,clear sky
157,Kabanjahe,ID,3.1001,98.4908,64.6,94,100,3.96,overcast clouds
158,Nome,US,64.5011,-165.4064,48.27,71,100,17.27,overcast clouds
159,Vila,PT,42.0304,-8.1588,55.71,80,0,4.5,clear sky
160,Belmonte,BR,-15.8631,-38.8828,70.83,77,1,8.55,clear sky
161,Cururupu,BR,-1.8283,-44.8683,74.62,92,24,3.04,few clouds
162,Kilindoni,TZ,-7.9139,39.6668,75.4,76,19,15.84,few clouds
163,Iqaluit,CA,63.7506,-68.5145,44.33,81,20,8.05,few clouds
164,Salamanca,ES,40.8333,-6.0,68.76,58,0,3.24,clear sky
165,Victoria,HK,22.2855,114.1577,89.26,72,14,5.01,few clouds
166,Brokopondo,SR,4.75,-55.1667,77.34,88,12,7.85,few clouds
167,Port Elizabeth,ZA,-33.918,25.5701,61.32,62,0,14.97,clear sky
168,Half Moon Bay,US,37.4636,-122.4286,81.91,68,100,18.41,overcast clouds
169,Lagoa,PT,39.05,-27.9833,72.84,89,8,11.43,clear sky
170,Codrington,AU,-38.2667,141.9667,54.5,85,100,12.88,overcast clouds
171,Klaksvik,FO,62.2266,-6.589,50.92,83,99,7.38,overcast clouds
172,Namibe,AO,-15.1961,12.1522,61.59,82,0,4.47,clear sky
173,Sirsa,IN,29.5333,75.0167,84.22,71,74,7.27,broken clouds
174,Verkhoyansk,RU,67.5447,133.385,77.63,46,63,2.21,broken clouds
175,Saint-Francois,FR,46.4154,3.9054,60.24,72,0,3.44,clear sky
176,Guaruja,BR,-23.9931,-46.2564,67.03,90,82,2.44,broken clouds
177,Borogontsy,RU,62.6683,131.1683,80.8,42,38,3.71,scattered clouds
178,Andenes,NO,69.3143,16.1194,51.93,100,100,13.8,overcast clouds
